ordem_fonte,chave_municipal,municipio_fonte,municipio_ibge,data_extrato
371,4318200,São Francisco de Paula,São Francisco de Paula,2024-06-11
372,4318309,São Gabriel,São Gabriel,2024-06-11
373,4318408,São Jerônimo,São Jerônimo,2024-06-11
374,4318424,São João da Urtiga,São João da Urtiga,2024-06-11
375,4318432,São João do Polêsine,São João do Polêsine,2024-06-11
376,4318440,São Jorge,São Jorge,2024-06-11
377,4318457,São José Das Missões,São José das Missões,2024-06-11
378,4318465,São José do Herval,São José do Herval,2024-06-11
379,4318481,São José do Hortêncio,São José do Hortêncio,2024-06-11
380,4318499,São José do Inhacorá,São José do Inhacorá,2024-06-11
381,4318507,São José do Norte,São José do Norte,2024-06-11
382,4318614,São José do Sul,São José do Sul,2024-06-11
383,4318622,São José Dos Ausentes,São José dos Ausentes,2024-06-11
384,4318705,São Leopoldo,São Leopoldo,2024-06-11
385,4318804,São Lourenço do Sul,São Lourenço do Sul,2024-06-11
386,4318903,São Luiz Gonzaga,São Luiz Gonzaga,2024-06-11
387,4319000,São Marcos,São Marcos,2024-06-11
388,4319109,São Martinho,São Martinho,2024-06-11
389,4319125,São Martinho da Serra,São Martinho da Serra,2024-06-11
390,4319158,São Miguel Das Missões,São Miguel das Missões,2024-06-11
391,4319208,São Nicolau,São Nicolau,2024-06-11
392,4319307,São Paulo Das Missões,São Paulo das Missões,2024-06-11
393,4319356,São Pedro da Serra,São Pedro da Serra,2024-06-11
394,4319364,São Pedro Das Missões,São Pedro das Missões,2024-06-11
395,4319372,São Pedro do Butiá,São Pedro do Butiá,2024-06-11
396,4319406,São Pedro do Sul,São Pedro do Sul,2024-06-11
397,4319505,São Sebastião do Caí,São Sebastião do Caí,2024-06-11
398,4319604,São Sepé,São Sepé,2024-06-11
399,4319703,São Valentim,São Valentim,2024-06-11
400,4319711,São Valentim do Sul,São Valentim do Sul,2024-06-11
401,4319737,São Valério do Sul,São Valério do Sul,2024-06-11
402,4319752,São Vendelino,São Vendelino,2024-06-11
403,4319802,São Vicente do Sul,São Vicente do Sul,2024-06-11
404,4319901,Sapiranga,Sapiranga,2024-06-11
405,4320008,Sapucaia do Sul,Sapucaia do Sul,2024-06-11
406,4320107,Sarandi,Sarandi,2024-06-11
407,4320206,Seberi,Seberi,2024-06-11
408,4320230,Sede Nova,Sede Nova,2024-06-11
409,4320263,Segredo,Segredo,2024-06-11
410,4320305,Selbach,Selbach,2024-06-11
411,4320321,Senador Salgado Filho,Senador Salgado Filho,2024-06-11
412,4320354,Sentinela do Sul,Sentinela do Sul,2024-06-11
413,4320404,Serafina Corrêa,Serafina Corrêa,2024-06-11
414,4320453,Sério,Sério,2024-06-11
415,4320503,Sertão,Sertão,2024-06-11
416,4320552,Sertão Santana,Sertão Santana,2024-06-11
417,4320578,Sete de Setembro,Sete de Setembro,2024-06-11
418,4320602,Severiano de Almeida,Severiano de Almeida,2024-06-11
419,4320651,Silveira Martins,Silveira Martins,2024-06-11
420,4320677,Sinimbu,Sinimbu,2024-06-11
421,4320701,Sobradinho,Sobradinho,2024-06-11
422,4320800,Soledade,Soledade,2024-06-11
423,4320859,Tabaí,Tabaí,2024-06-11
424,4321006,Tapera,Tapera,2024-06-11
425,4321105,Tapes,Tapes,2024-06-11
426,4321204,Taquara,Taquara,2024-06-11
427,4321303,Taquari,Taquari,2024-06-11
428,4321329,Taquaruçu do Sul,Taquaruçu do Sul,2024-06-11
429,4321352,Tavares,Tavares,2024-06-11
430,4321402,Tenente Portela,Tenente Portela,2024-06-11
431,4321436,Terra de Areia,Terra de Areia,2024-06-11
432,4321451,Teutônia,Teutônia,2024-06-11
433,4321477,Tiradentes do Sul,Tiradentes do Sul,2024-06-11
434,4321493,Toropi,Toropi,2024-06-11
435,4321501,Torres,Torres,2024-06-11
436,4321600,Tramandaí,Tramandaí,2024-06-11
437,4321626,Travesseiro,Travesseiro,2024-06-11
438,4321634,Três Arroios,Três Arroios,2024-06-11
439,4321667,Três Cachoeiras,Três Cachoeiras,2024-06-11
440,4321709,Três Coroas,Três Coroas,2024-06-11
441,4321808,Três de Maio,Três de Maio,2024-06-11
442,4321832,Três Forquilhas,Três Forquilhas,2024-06-11
443,4321857,Três Palmeiras,Três Palmeiras,2024-06-11
444,4321907,Três Passos,Três Passos,2024-06-11
445,4321956,Trindade do Sul,Trindade do Sul,2024-06-11
446,4322004,Triunfo,Triunfo,2024-06-11
447,4322103,Tucunduva,Tucunduva,2024-06-11
448,4322152,Tunas,Tunas,2024-06-11
449,4322186,Tupanci do Sul,Tupanci do Sul,2024-06-11
450,4322202,Tupanciretã,Tupanciretã,2024-06-11
451,4322251,Tupandi,Tupandi,2024-06-11
452,4322301,Tuparendi,Tuparendi,2024-06-11
453,4322327,Turuçu,Turuçu,2024-06-11
454,4322343,Ubiretama,Ubiretama,2024-06-11
455,4322350,União da Serra,União da Serra,2024-06-11
456,4322376,Unistalda,Unistalda,2024-06-11
457,4322400,Uruguaiana,Uruguaiana,2024-06-11
458,4322509,Vacaria,Vacaria,2024-06-11
459,4322533,Vale do Sol,Vale do Sol,2024-06-11
460,4322541,Vale Real,Vale Real,2024-06-11
461,4322525,Vale Verde,Vale Verde,2024-06-11
462,4322558,Vanini,Vanini,2024-06-11
463,4322608,Venâncio Aires,Venâncio Aires,2024-06-11
464,4322707,Vera Cruz,Vera Cruz,2024-06-11
465,4322806,Veranópolis,Veranópolis,2024-06-11
466,4322855,Vespasiano Correa,Vespasiano Corrêa,2024-06-11
467,4322905,Viadutos,Viadutos,2024-06-11
468,4323002,Viamão,Viamão,2024-06-11
469,4323101,Vicente Dutra,Vicente Dutra,2024-06-11
470,4323200,Victor Graeff,Victor Graeff,2024-06-11
471,4323309,Vila Flores,Vila Flores,2024-06-11
472,4323408,Vila Maria,Vila Maria,2024-06-11
473,4323457,Vila Nova do Sul,Vila Nova do Sul,2024-06-11
474,4323507,Vista Alegre,Vista Alegre,2024-06-11
475,4323606,Vista Alegre do Prata,Vista Alegre do Prata,2024-06-11
476,4323705,Vista Gaúcha,Vista Gaúcha,2024-06-11
477,4323754,Vitória Das Missões,Vitória das Missões,2024-06-11
478,4323770,Westfalia,Westfália,2024-06-11
